ip_version,source_file,total_rows,unique_ips,geolocated_rows,empty_geo_rows,vietnam_rows,vietnam_unique_ips,province_unmapped_rows,geolocated_rate,vietnam_rate,province_unmapped_rate
ipv4,/home/trungnt/vn-quic-scanner-2026/ipv4/output/vietnam-2026-04-28/statistics_qscanner_geo.csv,11498,11498,11475,23,11475,11475,17,0.998,0.998,0.001481
ipv6,/home/trungnt/vn-quic-scanner-2026/ipv6/output/vietnam-2026-04-25/statistics_qscanner_geo.csv,3488,3488,3488,0,3488,3488,0,1.0,1.0,0.0
